original_label,uber_id,uber_name
brain - hippocampus,UBERON:0002421,hippocampal formation
brain - medulla oblongata,UBERON:0001896,medulla oblongata
brain - midbrain,UBERON:0001891,midbrain
brain - pituitary and diencephalon,UBERON:0000007|UBERON:0001894,pituitary gland|diencephalon
brain - pons,UBERON:0000988,pons
brain - spinal cord,UBERON:0002240,spinal cord
brain - telencephalon,UBERON:0001893,telencephalon
brain - temporal lobe,UBERON:0001871,temporal lobe
brain - diencephalon and midbrain,UBERON:0001894|UBERON:0001891,diencephalon|midbrain
brain - forebrain and midbrain,UBERON:0001890|UBERON:0001891,forebrain|midbrain
brain - Hindbrain,UBERON:0002028,hindbrain
brain - hindbrain fragmenet,UBERON:0002028,hindbrain
brain - stomach,UBERON:0000955|UBERON:0000945,brain|stomach
small intestine - ileum,UBERON:0002116,ileum
brain - BA9 prefrontal cortex,UBERON:0013540|UBERON:0000451,Brodmann (1909) area 9|prefrontal cortex
brain - AnCg,UBERON:0009835,anterior cingulate cortex
brain - nAcc,UBERON:0001882,nucleus accumbens
brain - DLPFC,UBERON:0009834,dorsolateral prefrontal cortex
hindbrain,UBERON:0002028,hindbrain
spinal cord,UBERON:0002240,spinal cord
brain - microglia,CL:0000129,microglial cell
brain - brain,UBERON:0000955,brain
