id	name	MESH	def
MONDO:0000597	Munchausen by proxy	MESH:D016735	"""A factitious disorder that involves a care giver's deliberate exaggeration, fabrication, and/or induce physical, psychological, behavioral, and/or mental health problems in others."" [DOID:0060045, http://en.wikipedia.org/wiki/Munchausen_by_proxy]"
MONDO:0000598	aphasia	MESH:D001037	"""A language disorder that involves an acquired impairment of any laguage modality such as producting or comprehending spoken or written language."" [DOID:0060046, http://en.wikipedia.org/wiki/Aphasia]"
MONDO:0000607	primary cutaneous T-cell non-Hodgkin lymphoma	MESH:D016410	"""A T-cell non-Hodgkin lymphoma arising from the skin. Representative examples include mycosis fungoides and primary cutaneous anaplastic large cell lymphoma."" [NCIT:C3467]"
MONDO:0000608	familial juvenile hyperuricemic nephropathy	MESH:C537696	
MONDO:0000610	marantic endocarditis	MESH:D059905	"""Formation of a non-infectious thrombus, referred to as vegetation, on previously undamaged endocardium. It usually occurs as a complication of connective-tissue diseases and cancers because of the associated hypercoagulable state (see thrombophilia)."" [MESH:D059905]"
MONDO:0000665	apraxia	MESH:D001072	"""Apraxia is a neurological disorder characterized by the inability to perform tasks or movements, despite having the desire and physical ability to perform them. It is caused by damage to the brain, especially the parietal lobe, and can arise from many diseases, tumors, a stroke, or traumatic brain injury. In some cases it is present from birth. There are several types of apraxia, which may occur alone or together. These include"
MONDO:0000686	alexia without agraphia	MESH:D020237	"""Loss of the power to comprehend written materials despite preservation of the ability to write (i.e., alexia without agraphia). This condition is generally attributed to lesions that 'disconnect' the visual cortex of the non-dominant hemisphere from language centers in the dominant hemisphere. This may occur when a dominant visual cortex injury is combined with underlying white matter lesions that involve crossing fibers from the occipital lobe of the opposite hemisphere. (From Adams et al., Principles of Neurology, 6th ed, p483)"" [MESH:D020237]"
MONDO:0000687	diffuse alopecia areata	MESH:C531609	"""An alopecia areata that involves diffuse loss of hair over the whole scalp."" [DOID:0060157, http://en.wikipedia.org/wiki/Alopecia_areata]"
MONDO:0000690	body dysmorphic disorder	MESH:D057215	"""Preoccupations with appearance or self-image causing significant distress or impairment in important areas of functioning."" [MESH:D057215]"
MONDO:0000694	seasonal affective disorder	MESH:D016574	"""A syndrome characterized by depressions that recur annually at the same time each year, usually during the winter months. Other symptoms include anxiety, irritability, decreased energy, increased appetite (carbohydrate cravings), increased duration of sleep, and weight gain. sad (seasonal affective disorder) can be treated by daily exposure to bright artificial lights (phototherapy), during the season of recurrence."" [MESH:D016574]"
MONDO:0000701	ischemic colitis	MESH:D017091	"""Inflammation of the colon due to colonic ischemia resulting from alterations in systemic circulation or local vasculature."" [MESH:D017091]"
MONDO:0000702	microscopic colitis	MESH:D046728	"""Inflammation of the colon that is only apparent by microscopic examination."" [NCIT:P378]"
MONDO:0000703	collagenous colitis	MESH:D046729	"""A type of microscopic colitis of unknown etiology. It is characterized by the presence of collagen deposits in the lamina propria of the colonic mucosa. Patients present with chronic watery diarrhea. Colonoscopy reveals normal-appearing mucosa. The diagnosis is made with the microscopic examination of the colonic biopsy samples."" [NCIT:P378]"
MONDO:0000704	lymphocytic colitis	MESH:D046730	"""Microscopic colitis characterized by the accumulation of lymphocytes in the colonic epithelium and lamina propria. Patients present with chronic watery diarrhea. Colonoscopy reveals normal colonic mucosa. The diagnosis is made with the microscopic examination of the colonic biopsy samples."" [NCIT:P378]"
MONDO:0000705	Clostridium difficile colitis	MESH:D004761	"""A bacterial infection of the colon secondary to infection with Clostridium difficile bacteria. This infection generally results from the loss of normal gut flora secondary to recent antibiotic use, and manifests as copious watery stools, with associated abdominal pain and myalgia. C. difficile is the most common cause of pseudomembranous colitis, and can progress to toxic megacolon if left untreated."" [NCIT:C35286]"
MONDO:0000709	Crohn ileitis	MESH:D007079	"""An Crohn disease involving a pathogenic inflammatory response in the ileum."" [MONDO:patterns/specific_inflammatory_disease_by_site]"
MONDO:0000716	agraphia	MESH:D000381	"""An acquired writing disorder causing a loss in the ability to communicate through writing, either due to some motor dysfunction or the inability to spell."" [DOID:0060223, http://en.wikipedia.org/wiki/Agraphia, PMID:21507544]"
MONDO:0000722	non-syndromic synpolydactyly	MESH:C538153	"""A synpolydactyly that is not part of a larger syndrome."" [MONDO:patterns/isolated]"
MONDO:0000727	scapuloperoneal myopathy	MESH:C536624	"""A muscular dystrophy which begins at the lower legs and affects the shoulder region earlier and more severely than distal arm."" [DOID:0060253, PMID:28179901]"
MONDO:0000728	ptosis	MESH:D001763	"""The drooping of the upper eyelid."" [NCIT:P378]"
MONDO:0000736	dyschromatosis universalis hereditaria	MESH:C535730	"""A pigmentation disease characterized by reticulate hyper- and hypo-pigmentated macules in a generalized distribution."" [DOID:0060304, http://en.wikipedia.org/wiki/Dyschromatosis_universalis_hereditaria, PMID:12372090]"
MONDO:0000743	oral hairy leukoplakia	MESH:D017733	"""An epithelial hyperplasia of the oral cavity mucosa associated with Epstein-Barr virus and found almost exclusively in persons with HIV infection. The lesion consists of a white patch that is often corrugated or hairy."" [NCIT:P378]"
MONDO:0000744	lung abscess	MESH:D008169	"""A bacterial, fungal or parasitic abscess that develops in the lung parenchyma. Causes include aspiration pneumonia, necrotizing pneumonia, necrotizing malignant tumors, and Wegener's granulomatosis."" [NCIT:P378]"
MONDO:0000745	cardiac arrest	MESH:D006323	"""Cessation of breathing and/or cardiac function."" [NCIT:P378]"
MONDO:0000748	mastoiditis	MESH:D008417	"""Inflammation of the mucosal lining of the mastoid antrum and mastoid air cell system of the mastoid process."" [NCIT:C128368]"
MONDO:0000754	anal fistula	MESH:D012003	"""A pathologic tract that connects an opening in the anal canal to the perianal skin. In the vast majority of cases there is a history of perianal abscess."" [NCIT:C60785]"
MONDO:0000755	ectopic pregnancy	MESH:D011271	"""An abnormal pregnancy in which the conception is implanted outside the endometrial cavity."" [NCIT:P378]"
MONDO:0000758	bacillary angiomatosis	MESH:D016917	"""A condition that is caused by infection with Bartonella, and which is characterized by vascular proliferation, usually in immunocompromised individuals."" [NCIT:C3477]"
MONDO:0000775	drug allergy	MESH:D004342	"""Immunologically mediated adverse reactions to medicinal substances used legally or illegally."" [MESH:D004342]"
MONDO:0000807	latex allergy	MESH:D020315	"""Allergic reaction to products containing processed natural rubber latex such as rubber gloves, condoms, catheters, dental dams, balloons, and sporting equipment. Both T-cell mediated (hypersensitivity, delayed) and IgE antibody-mediated (hypersensitivity, immediate) allergic responses are possible. Delayed hypersensitivity results from exposure to antioxidants present in the rubber; immediate hypersensitivity results from exposure to a latex protein."" [MESH:D020315]"
MONDO:0000809	purpura fulminans	MESH:D055665	"""A severe, rapidly fatal reaction occurring most commonly in children following an infectious illness. It is characterized by large, rapidly spreading skin hemorrhages, fever, or shock. Purpura fulminans often accompanies or is triggered by disseminated intravascular coagulation."" [MESH:D055665]"
MONDO:0000811	anomalous left coronary artery from the pulmonary artery	MESH:D063748	"""A congenital coronary vessel anomaly in which the left main coronary artery originates from the pulmonary artery instead of from aorta. The congenital heart defect typically results in coronary artery fistula; left-sided heart failure and mitral valve insufficiency during the first months of life."" [MESH:D063748]"
MONDO:0000812	vertebral column disorder	MESH:D013122	"""A disease involving the vertebral column."" [MONDO:patterns/location_top]"
MONDO:0000813	cardiac tuberculosis	MESH:D014381	"""Pathological conditions of the cardiovascular system caused by infection of mycobacterium tuberculosis. Tuberculosis involvement may include the heart; the blood vessels; or the pericardium."" [MESH:D014381]"
MONDO:0000816	abdominal obesity-metabolic syndrome	MESH:C535554	
MONDO:0000819	anencephaly	MESH:D000757	"""A rare neural tube defect during pregnancy, resulting in the absence of a large portion of the brain and skull in the fetus."" [NCIT:C84560]"
MONDO:0000827	salmonellosis	MESH:D012480	"""Infections with bacteria of the genus salmonella."" [MESH:D012480]"
MONDO:0000831	thrombotic disease	MESH:D013927	"""The formation of a blood clot in the lumen of a vessel or heart chamber; causes include coagulation disorders and vascular endothelial injury."" [NCIT:C26891]"
MONDO:0000837	bone resorption disease	MESH:D001862	"""A disease that has its basis in the disruption of bone resorption. Bone resorption is a process in which specialized cells known as osteoclasts degrade the organic and inorganic portions of bone, and endocytose and transport the degradation products."" []"
MONDO:0000845	fibrous dysplasia	MESH:D005357	"""A genetic, non-inheritable disorder caused by osteoblastic differentiation defects that result in the replacement of bone marrow and trabecular bone by fibrous stroma and immature bone. It usually affects a single bone and less frequently multiple bones. Skull, femur, tibia, and humerus are the most frequently affected bones. It manifests with pain, deformities, and fractures."" [NCIT:C34609]"
MONDO:0000859	spina bifida occulta	MESH:D016136	"""The mildest form of spina bifida, characterized by any of several neural tube defects which may go undetected until an x-ray is performed. Treatment is symptomatic."" [NCIT:C101044]"
MONDO:0000863	myopathy, lactic acidosis, and sideroblastic anemia	MESH:C536101	"""Mitochondrial myopathy and sideroblastic anemia belongs to the heterogeneous family of metabolic myopathies. It is characterised by progressive exercise intolerance manifesting in childhood, onset of sideroblastic anaemia around adolescence, lactic acidaemia, and mitochondrial myopathy."" [Orphanet:2598]"
MONDO:0000866	hereditary myoglobinuria	MESH:D009212	
MONDO:0000878	cytomegalovirus retinitis	MESH:D017726	"""Infection of the retina by cytomegalovirus characterized by retinal necrosis, hemorrhage, vessel sheathing, and retinal edema. Cytomegalovirus retinitis is a major opportunistic infection in aids patients and can cause blindness."" [MESH:D017726]"
MONDO:0000879	cutaneous candidiasis	MESH:D002179	"""Candidiasis of the skin manifested as eczema-like lesions of the interdigital spaces, perleche, or chronic paronychia. (Dorland, 27th ed)"" [MESH:D002179]"
MONDO:0000889	haemophilus meningitis	MESH:D008583	"""Infections of the nervous system caused by bacteria of the genus haemophilus, and marked by prominent inflammation of the meninges. haemophilus influenzae type B is the most common causative organism. The condition primarily affects children under 6 years of age but may occur in adults."" [MESH:D008583]"
MONDO:0000890	Zika virus congenital syndrome	MESH:1622152|MESH:D000071243	"""A congenital birth syndrome that arises from materal Zika infection."" [https://www.cdc.gov/pregnancy/zika/testing-follow-up/zika-syndrome-birth-defects.html]"
